2 Thessalonians,3,12,Now such persons we command and encourage in the Lord Jesus Christ to do their work quietly and to earn their own living.
2 Thessalonians,3,13,"As for you, brothers, do not grow weary in doing good."
2 Thessalonians,3,14,"If anyone does not obey what we say in this letter, take note of that person, and have nothing to do with him, that he may be ashamed."
2 Thessalonians,3,15,"Do not regard him as an enemy, but warn him as a brother."
2 Thessalonians,3,16,Now may the Lord of peace himself give you peace at all times in every way. The Lord be with you all.
2 Thessalonians,3,17,"I, Paul, write this greeting with my own hand. This is the sign of genuineness in every letter of mine; it is the way I write."
2 Thessalonians,3,18,The grace of our Lord Jesus Christ be with you all.
1 Timothy,1,1,"Paul, an apostle of Christ Jesus by command of God our Savior and of Christ Jesus our hope,"
1 Timothy,1,2,"To Timothy, my true child in the faith:Grace, mercy, and peace from God the Father and Christ Jesus our Lord."
1 Timothy,1,3,"As I urged you when I was going to Macedonia, remain at Ephesus that you may charge certain persons not to teach any different doctrine,"
1 Timothy,1,4,"nor to devote themselves to myths and endless genealogies, which promote speculations rather than the stewardship from God that is by faith."
1 Timothy,1,5,The aim of our charge is love that issues from a pure heart and a good conscience and a sincere faith.
1 Timothy,1,6,"Certain persons, by swerving from these, have wandered away into vain discussion,"
1 Timothy,1,7,"desiring to be teachers of the law, without understanding either what they are saying or the things about which they make confident assertions."
1 Timothy,1,8,"Now we know that the law is good, if one uses it lawfully,"
1 Timothy,1,9,"understanding this, that the law is not laid down for the just but for the lawless and disobedient, for the ungodly and sinners, for the unholy and profane, for those who strike their fathers and mothers, for murderers,"
1 Timothy,1,10,"the sexually immoral, men who practice homosexuality, enslavers, liars, perjurers, and whatever else is contrary to sound doctrine,"
1 Timothy,1,11,in accordance with the glorious gospel of the blessed God with which I have been entrusted.
1 Timothy,1,12,"I thank him who has given me strength, Christ Jesus our Lord, because he judged me faithful, appointing me to his service,"
1 Timothy,1,13,"though formerly I was a blasphemer, persecutor, and insolent opponent. But I received mercy because I had acted ignorantly in unbelief,"
1 Timothy,1,14,and the grace of our Lord overflowed for me with the faith and love that are in Christ Jesus.
1 Timothy,1,15,"The saying is trustworthy and deserving of full acceptance, that Christ Jesus came into the world to save sinners, of whom I am the foremost."
1 Timothy,1,16,"But I received mercy for this reason, that in me, as the foremost, Jesus Christ might display his perfect patience as an example to those who were to believe in him for eternal life."
1 Timothy,1,17,"To the King of ages, immortal, invisible, the only God, be honor and glory forever and ever. Amen."
1 Timothy,1,18,"This charge I entrust to you, Timothy, my child, in accordance with the prophecies previously made about you, that by them you may wage the good warfare,"
1 Timothy,1,19,"holding faith and a good conscience. By rejecting this, some have made shipwreck of their faith,"
1 Timothy,1,20,"among whom are Hymenaeus and Alexander, whom I have handed over to Satan that they may learn not to blaspheme."
1 Timothy,2,1,"First of all, then, I urge that supplications, prayers, intercessions, and thanksgivings be made for all people,"
1 Timothy,2,2,"for kings and all who are in high positions, that we may lead a peaceful and quiet life, godly and dignified in every way."
1 Timothy,2,3,"This is good, and it is pleasing in the sight of God our Savior,"
1 Timothy,2,4,who desires all people to be saved and to come to the knowledge of the truth.
1 Timothy,2,5,"For there is one God, and there is one mediator between God and men, the man Christ Jesus,"
1 Timothy,2,6,"who gave himself as a ransom for all, which is the testimony given at the proper time."
1 Timothy,2,7,"For this I was appointed a preacher and an apostle (I am telling the truth, I am not lying), a teacher of the Gentiles in faith and truth."
1 Timothy,2,8,"I desire then that in every place the men should pray, lifting holy hands without anger or quarreling;"
1 Timothy,2,9,"likewise also that women should adorn themselves in respectable apparel, with modesty and self-control, not with braided hair and gold or pearls or costly attire,"
1 Timothy,2,10,but with what is proper for women who profess godliness--with good works.
1 Timothy,2,11,Let a woman learn quietly with all submissiveness.
1 Timothy,2,12,"I do not permit a woman to teach or to exercise authority over a man; rather, she is to remain quiet."
1 Timothy,2,13,"For Adam was formed first, then Eve;"
1 Timothy,2,14,"and Adam was not deceived, but the woman was deceived and became a transgressor."
1 Timothy,2,15,"Yet she will be saved through childbearing--if they continue in faith and love and holiness, with self-control."
1 Timothy,3,1,"The saying is trustworthy: If anyone aspires to the office of overseer, he desires a noble task."
1 Timothy,3,2,"Therefore an overseer must be above reproach, the husband of one wife, sober-minded, self-controlled, respectable, hospitable, able to teach,"
1 Timothy,3,3,"not a drunkard, not violent but gentle, not quarrelsome, not a lover of money."
1 Timothy,3,4,"He must manage his own household well, with all dignity keeping his children submissive,"
1 Timothy,3,5,"for if someone does not know how to manage his own household, how will he care for God's church?"
1 Timothy,3,6,"He must not be a recent convert, or he may become puffed up with conceit and fall into the condemnation of the devil."
1 Timothy,3,7,"Moreover, he must be well thought of by outsiders, so that he may not fall into disgrace, into a snare of the devil."
1 Timothy,3,8,"Deacons likewise must be dignified, not double-tongued, not addicted to much wine, not greedy for dishonest gain."
1 Timothy,3,9,They must hold the mystery of the faith with a clear conscience.
1 Timothy,3,10,And let them also be tested first; then let them serve as deacons if they prove themselves blameless.
1 Timothy,3,11,"Their wives likewise must be dignified, not slanderers, but sober-minded, faithful in all things."
1 Timothy,3,12,"Let deacons each be the husband of one wife, managing their children and their own households well."
1 Timothy,3,13,For those who serve well as deacons gain a good standing for themselves and also great confidence in the faith that is in Christ Jesus.
